,user,matchId,startTime,endTime,map,kills,medalXp,objectiveMedalModeSdDefuseScore,matchXp,averageSpeedDuringMatch,scoreXp,accuracy,wallBangs,losses,avgLifeTime,shotsLanded,score,totalXp,objectiveExecution,headshots,assists,rank,scorePerMinute,distanceTraveled,deaths,wins,kdRatio,shotsMissed,scorePerGame,timePlayed,headshotPercentage,matchesPlayed,executions,suicides,wlRatio,nearmisses,percentTimeMoving,miscXp,objectiveUavAssist,longestStreak,damageDone,shotsFired,damageTaken,objectivePlant,objectiveMedalModeSdDetonateScore,objectiveMedalModeXDefendScore,objectiveMedalModeXAssaultScore,objectiveLastManKill,objectiveDestroyedEquipment,objectiveMedalModeSdDefuseSaveScore,objectiveMedalScoreSsKillCruisePredator,objectiveShieldAssist,objectiveShieldDamage,objectiveMedalModeSdLastDefuseScore,objectiveMedalModeSdPlantSaveScore,objectiveEmpedPlayer,objectiveMedalScoreKillSsRadarDrone,objectiveMedalScoreSsKillHoverJet,objectiveMedalScoreSsKillPrecisionAirstrike,objectivePerkMarkedTarget
27,kingfishy,9985593676074253468,1591911168000,1591912058000,mp_backlot2,5.0,2295.0,,1966.0,68.9239,500.0,0.1678832116788321,,1.0,95.3,23.0,500.0,4761.0,,0.0,0.0,54.0,31.479538300104934,25277.775,9.0,0.0,0.5555555555555556,114.0,500.0,953.0,0.0,1.0,0.0,0.0,0.0,,48.3871,0.0,,2.0,649.0,137.0,969.0,,,,,,,,,,,,,,,,,
28,kingfishy,1898649236292123036,1591910545000,1591911028000,mp_rust,2.0,2350.0,,2335.0,93.36843,200.0,0.1592920353982301,,0.0,66.125,18.0,300.0,4885.0,,0.0,0.0,54.0,34.02646502835539,4455.847,7.0,1.0,0.2857142857142857,95.0,300.0,529.0,0.0,1.0,0.0,0.0,0.0,,64.516136,0.0,,2.0,536.0,113.0,769.0,,,2.0,,,,,,,,,,,,,,
29,kingfishy,9547899902520050299,1591909199000,1591910448000,mp_petrograd,6.0,3435.0,,4978.0,51.836136,725.0,0.2391304347826087,,1.0,142.55555555555554,33.0,725.0,9138.0,,0.0,2.0,54.0,33.90491036632892,40415.41,8.0,0.0,0.75,105.0,725.0,1283.0,0.0,1.0,0.0,0.0,0.0,,35.43307,0.0,,2.0,797.0,138.0,800.0,,,,,1.0,,,,,,,,,,,,
30,kingfishy,16429927873745515752,1591908157000,1591909067000,mp_spear,4.0,2970.0,,3081.0,119.18601,650.0,0.16176470588235295,,1.0,120.0,22.0,800.0,6701.0,,0.0,2.0,54.0,50.0,22807.719,7.0,0.0,0.5714285714285714,114.0,800.0,960.0,0.0,1.0,0.0,0.0,0.0,,85.106384,0.0,,1.0,580.0,136.0,700.0,1.0,1.0,1.0,,,,,,,,,,,,,,
31,kingfishy,6119128240364726229,1591907213000,1591908034000,mp_vacant,7.0,3455.0,,3798.0,70.93549,800.0,0.2616822429906542,,1.0,107.875,28.0,900.0,8053.0,,3.0,1.0,54.0,62.57242178447277,20523.426,7.0,0.0,1.0,79.0,900.0,863.0,0.42857142857142855,1.0,0.0,0.0,0.0,,68.37607,0.0,,2.0,705.0,107.0,788.0,,,2.0,,1.0,1.0,,,,,,,,,,,
32,kingfishy,9277945471779383483,1591896036000,1591896869000,mp_deadzone,6.0,2865.0,,2402.0,0.0,720.0,0.16883116883116883,,0.0,148.5,26.0,870.0,5987.0,,0.0,2.0,54.0,58.58585858585859,37043.586,5.0,1.0,1.2,128.0,870.0,891.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,2.0,4.0,698.0,154.0,583.0,,,,3.0,1.0,,,,,,,,,,,,
33,kingfishy,3959523975511683488,1591895217000,1591895900000,mp_village2,3.0,1560.0,,1332.0,123.34201,300.0,0.16,,1.0,80.11111111111111,16.0,350.0,3192.0,,0.0,0.0,54.0,29.12621359223301,19715.111,8.0,0.0,0.375,84.0,350.0,721.0,0.0,1.0,0.0,0.0,0.0,,86.53847,0.0,,2.0,391.0,100.0,872.0,,,1.0,,,,,,,,,,,,,,
34,kingfishy,8028657647062016804,1591819482000,1591820281000,mp_village2,4.0,2650.0,,4001.0,49.77731,475.0,0.25,,0.0,120.0,26.0,625.0,7126.0,,3.0,1.0,54.0,44.642857142857146,25743.436,6.0,1.0,0.6666666666666666,78.0,625.0,840.0,0.75,1.0,0.0,0.0,0.0,,29.069767,0.0,,2.0,715.0,104.0,600.0,,,2.0,1.0,,,,,,,,,,,,,
35,kingfishy,15591140025323152609,1591818633000,1591819330000,mp_m_speed,9.0,4345.0,,3408.0,106.45932,1025.0,0.19545454545454546,,0.0,105.42857142857143,43.0,1200.0,8778.0,,3.0,4.0,54.0,97.5609756097561,19720.215,6.0,1.0,1.5,177.0,1200.0,738.0,0.3333333333333333,1.0,0.0,0.0,0.0,,62.5,0.0,,2.0,1021.0,220.0,873.0,,,,2.0,,,1.0,,,,,,,,,,
36,kingfishy,14551411397603343112,1591817856000,1591818542000,mp_hideout,7.0,2730.0,,2930.0,44.511856,700.0,0.2702702702702703,,0.0,147.0,30.0,700.0,6360.0,,1.0,0.0,54.0,57.14285714285714,12305.941,4.0,1.0,1.75,81.0,700.0,735.0,0.14285714285714285,1.0,0.0,0.0,0.0,,28.985506,0.0,,3.0,737.0,111.0,628.0,,,,,,,,,,,,,,,,,
